user_id,orig_row,M2ID,M2FAMNUM,answered
243,1,10002.0,100001.0,23
244,801,11031.0,100424.0,113
245,139,10182.0,120924.0,138
246,1424,11844.0,100759.0,17
247,3494,14502.0,101836.0,180
248,3096,13971.0,110160.0,171
249,3497,14506.0,101838.0,183
250,6467,18372.0,103369.0,184
251,5017,16491.0,102626.0,172
252,2273,12907.0,110159.0,164
253,478,10601.0,120554.0,170
254,2607,13339.0,101382.0,20
255,2872,13673.0,101523.0,171
256,4859,16286.0,102547.0,166
257,418,10531.0,120948.0,130
258,1593,12051.0,100855.0,184
259,3216,14133.0,120745.0,171
260,228,10299.0,100123.0,183
261,434,10550.0,120257.0,130
262,4343,15624.0,120583.0,105
263,4272,15533.0,120234.0,180
264,3201,14112.0,101691.0,143
265,4509,15829.0,110002.0,129
266,1367,11777.0,100730.0,193
267,5957,17707.0,110444.0,185
268,5726,17403.0,102985.0,20
269,6643,18601.0,120611.0,172
270,2109,12693.0,101120.0,113
271,4131,15352.0,102155.0,156
272,5449,17039.0,110386.0,108
273,6550,18484.0,103412.0,23
274,4431,15734.0,120246.0,120
275,3519,14534.0,110443.0,146
276,1055,11359.0,100561.0,110
277,4456,15764.0,102333.0,120
278,2468,13165.0,101305.0,191
279,6137,17930.0,120400.0,19
280,680,10864.0,120505.0,17
281,2081,12658.0,110148.0,133
282,1110,11440.0,100592.0,140
283,1833,12356.0,100977.0,187
284,4917,16361.0,110144.0,147
285,5000,16472.0,120314.0,131
286,5099,16597.0,102664.0,119
287,2832,13617.0,101501.0,23
288,1138,11478.0,100610.0,188
289,1119,11452.0,100598.0,158
290,5311,16867.0,110402.0,174
291,5864,17582.0,110437.0,157
292,1773,12276.0,100948.0,130
293,4359,15643.0,102281.0,179
294,4266,15526.0,102233.0,23
295,1764,12266.0,100942.0,110
296,3785,14899.0,120918.0,173
297,5243,16768.0,110397.0,133
298,5022,16496.0,102631.0,166
299,3832,14961.0,102003.0,150
300,615,10772.0,100331.0,162
301,2843,13632.0,120101.0,167
302,963,11236.0,120223.0,168
303,5414,16994.0,102823.0,190
304,6208,18028.0,120423.0,185
305,5716,17391.0,120034.0,166
306,3196,14104.0,120272.0,21
307,1724,12220.0,100921.0,22
308,4077,15282.0,120773.0,168
309,1952,12506.0,110011.0,17
310,5926,17667.0,110189.0,181
311,2214,12831.0,101169.0,184
312,4695,16083.0,102459.0,142
313,1337,11732.0,120063.0,170
314,3098,13974.0,110456.0,152
315,6648,18612.0,120757.0,172
316,3328,14270.0,101757.0,177
317,4800,16209.0,120351.0,194
318,5811,17517.0,120135.0,173
319,25,10034.0,100016.0,160
320,3397,14364.0,120693.0,109
321,4976,16442.0,102604.0,188
322,2257,12885.0,120337.0,140
323,502,10627.0,100268.0,20
324,592,10746.0,120208.0,186
325,5032,16514.0,102633.0,27
326,4908,16350.0,110254.0,175
327,950,11218.0,100507.0,191
328,7011,19072.0,103670.0,180
329,233,10305.0,120113.0,180
330,6407,18298.0,120418.0,21
331,862,11109.0,110065.0,116
332,5456,17047.0,120556.0,172
333,1187,11540.0,110182.0,166
334,1040,11342.0,120182.0,164
335,4402,15700.0,102309.0,195
336,3481,14484.0,120383.0,161
337,6156,17955.0,120963.0,175
338,2670,13419.0,120790.0,158
339,3134,14021.0,120910.0,175
340,6315,18179.0,103288.0,126
341,3150,14046.0,120422.0,150
342,1622,12090.0,100869.0,148
343,1784,12293.0,100955.0,122
344,5775,17468.0,103011.0,147
345,2608,13340.0,110451.0,180
346,6352,18229.0,103311.0,162
